extension,linguist_language,vscode_language_id
.bsl,1C Enterprise,
.os,1C Enterprise,
.2da,2-Dimensional Array,
.4dm,4D,
.abap,ABAP,abap
.asddls,ABAP CDS,
.abnf,ABNF,
.asc,AGS Script,
.ash,AGS Script,
.aidl,AIDL,
.al,AL,
.ampl,AMPL,
.mod,AMPL,
.g4,ANTLR,
.apib,API Blueprint,
.apl,APL,
.dyalog,APL,
.asl,ASL,
.dsl,ASL,
.asn,ASN.1,
.asn1,ASN.1,
.asax,ASP.NET,
.ascx,ASP.NET,
.ashx,ASP.NET,
.asmx,ASP.NET,
.aspx,ASP.NET,
.axd,ASP.NET,
.dats,ATS,
.hats,ATS,
.sats,ATS,
.as,ActionScript,
.adb,Ada,
.ada,Ada,
.ads,Ada,
.txt,Adblock Filter List,
.afm,Adobe Font Metrics,
.agda,Agda,
.ak,Aiken,
.als,Alloy,
.OutJob,Altium Designer,
.PcbDoc,Altium Designer,
.PrjPCB,Altium Designer,
.SchDoc,Altium Designer,
.as,AngelScript,
.angelscript,AngelScript,
.lp,Answer Set Programming,
.antlers.html,Antlers,
.antlers.php,Antlers,
.antlers.xml,Antlers,
.apacheconf,ApacheConf,
.vhost,ApacheConf,
.cls,Apex,
.apex,Apex,
.trigger,Apex,
.agc,Apollo Guidance Computer,
.applescript,AppleScript,
.scpt,AppleScript,
.arc,Arc,
.asciidoc,AsciiDoc,
.adoc,AsciiDoc,
.asc,AsciiDoc,
.aj,AspectJ,
.asm,Assembly,
.a51,Assembly,
.i,Assembly,
.inc,Assembly,
.nas,Assembly,
.nasm,Assembly,
.s,Assembly,
.astro,Astro,
.asy,Asymptote,
.aug,Augeas,
.ahk,AutoHotkey,
.ahkl,AutoHotkey,
.au3,AutoIt,
.avdl,Avro IDL,
.awk,Awk,
.auk,Awk,
.gawk,Awk,
.mawk,Awk,
.nawk,Awk,
.bas,B4X,
.bas,BASIC,
.bqn,BQN,
.bal,Ballerina,
.bat,Batchfile,bat
.cmd,Batchfile,bat
.bf,Beef,
.befunge,Befunge,
.bf,Befunge,
.be,Berry,
.bib,BibTeX,bibtex
.bibtex,BibTeX,bibtex
.bst,BibTeX Style,
.bicep,Bicep,
.bicepparam,Bicep,
.bs,Bikeshed,
.bison,Bison,
.bb,BitBake,
