extension,linguist_language,vscode_language_id
.bib,BibTeX,bibtex
.bibtex,BibTeX,bibtex
.diff,Diff,diff
.patch,Diff,diff
.cshtml,HTML+Razor,razor
.razor,HTML+Razor,razor
.haml,Haml,haml
.haml.deface,Haml,haml
.handlebars,Handlebars,handlebars
.hbs,Handlebars,handlebars
.jsonc,JSON with Comments,jsonc
.code-snippets,JSON with Comments,jsonc
.code-workspace,JSON with Comments,jsonc
.sublime-build,JSON with Comments,jsonc
.sublime-color-scheme,JSON with Comments,jsonc
.sublime-commands,JSON with Comments,jsonc
.sublime-completions,JSON with Comments,jsonc
.sublime-keymap,JSON with Comments,jsonc
.sublime-macro,JSON with Comments,jsonc
.sublime-menu,JSON with Comments,jsonc
.sublime-mousemap,JSON with Comments,jsonc
.sublime-project,JSON with Comments,jsonc
.sublime-settings,JSON with Comments,jsonc
.sublime-theme,JSON with Comments,jsonc
.sublime-workspace,JSON with Comments,jsonc
.sublime_metrics,JSON with Comments,jsonc
.sublime_session,JSON with Comments,jsonc
.jade,Pug,pug
.pug,Pug,pug
.shader,ShaderLab,shaderlab
.slim,Slim,slim
.styl,Stylus,stylus
.svelte,Svelte,svelte
.tex,TeX,tex
.aux,TeX,tex
.bbx,TeX,tex
.cbx,TeX,tex
.cls,TeX,tex
.dtx,TeX,tex
.ins,TeX,tex
.lbx,TeX,tex
.ltx,TeX,tex
.mkii,TeX,tex
.mkiv,TeX,tex
.mkvi,TeX,tex
.sty,TeX,tex
.toc,TeX,tex
